City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
10,Kapaa,US,78.78,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
13,Mar Del Plata,AR,70.09,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
21,Rikitea,PF,79.52,light rain,-23.1203,-134.9692,People ThankYou
22,Bengkulu,ID,74.53,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
23,Korla,CN,70.92,overcast clouds,41.7597,86.1469,Gulisitan Hotel
24,Hambantota,LK,79.57,overcast clouds,6.1241,81.1185,Bungalow 63
26,Atuona,PF,79.47,overcast clouds,-9.8,-139.0333,Villa Enata
29,Labuhan,ID,77.09,broken clouds,-6.8844,112.2051,DoubleFAG
30,Jambi,ID,73.6,overcast clouds,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
32,Cidreira,BR,70.02,overcast clouds,-30.1811,-50.2056,Hotel Castelo
34,Ezequiel Montes,MX,70.75,few clouds,20.6667,-99.8833,Hotel Casa Blanca
38,Atambua,ID,71.62,broken clouds,-9.1061,124.8925,Kost Alfa Flat
41,Hilo,US,72.25,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
46,Saint George,US,78.64,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
47,Padang,ID,77.85,heavy intensity rain,-0.9492,100.3543,Mercure Padang
49,Yanam,IN,77.36,overcast clouds,16.7333,82.2167,The Regency Hotel
55,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
57,Kikwit,CD,75.9,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
85,Senador Jose Porfirio,BR,78.96,light rain,-2.5908,-51.9542,Pousada Novo Horizonte
88,Kudat,MY,76.93,few clouds,6.8837,116.8477,Dream Garden Hotel
103,Grand Gaube,MU,78.39,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
118,Angoche,MZ,78.64,clear sky,-16.2325,39.9086,Guest House HESADA
127,Nouadhibou,MR,71.58,sand,20.931,-17.0347,El Medina
133,Isangel,VU,79.77,overcast clouds,-19.55,169.2667,Tanna Lodge
147,Victoria,HK,71.65,clear sky,22.2855,114.1577,Mini Hotel Central
148,Kahului,US,75.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
155,Bambous Virieux,MU,78.22,light rain,-20.3428,57.7575,Casa Tia Villa
156,Palasa,IN,77.58,broken clouds,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
160,Camana,PE,72.72,scattered clouds,-16.6228,-72.7111,Hostal Morales
164,Jalu,LY,71.87,clear sky,29.0331,21.5482,صاحبة الفخامة
165,Rocha,UY,76.75,clear sky,-34.4833,-54.3333,Hotel Arrarte
166,Gigmoto,PH,77.85,overcast clouds,13.7796,124.39,Cj's Travellers Inn
