City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sorland,NO,67.667,12.6934,37.44,56,100,22.46,overcast clouds
1,Hilo,US,19.7297,-155.09,68.25,96,100,5.75,moderate rain
2,Wattegama,LK,6.7989,81.4808,76.93,91,99,1.86,overcast clouds
3,Eureka,US,40.8021,-124.1637,51.21,72,100,10.0,overcast clouds
4,Tambovka,RU,50.0969,128.0489,26.62,92,58,1.97,broken clouds
5,Cap-Chat,CA,49.1001,-66.6821,37.44,89,100,8.66,overcast clouds
6,Quatre Cocos,MU,-20.2078,57.7625,78.1,84,59,15.64,light rain
7,Port-Gentil,GA,-0.7193,8.7815,81.43,83,48,13.04,light rain
8,Hashtrud,IR,37.4779,47.0508,55.96,48,61,22.44,broken clouds
9,Bluff,NZ,-46.6,168.3333,54.86,66,96,17.45,overcast clouds
10,Mar Del Plata,AR,-38.0023,-57.5575,66.22,95,75,11.01,light rain
11,Potchefstroom,ZA,-26.7167,27.1,59.29,77,92,9.42,light rain
12,Upernavik,GL,72.7868,-56.1549,10.33,87,100,5.95,overcast clouds
13,Salalah,OM,17.0151,54.0924,82.11,59,96,2.3,overcast clouds
14,Hithadhoo,MV,-0.6,73.0833,83.5,67,68,6.98,broken clouds
15,Arraial Do Cabo,BR,-22.9661,-42.0278,84.16,69,20,12.66,few clouds
16,Kaduy,RU,59.2,37.15,43.29,85,100,12.08,overcast clouds
17,Tiksi,RU,71.6872,128.8694,-8.39,100,100,2.39,overcast clouds
18,Pevek,RU,69.7008,170.3133,-19.28,100,83,0.87,broken clouds
19,Ushuaia,AR,-54.8,-68.3,40.62,81,20,0.0,few clouds
20,Shu,KZ,43.5983,73.7614,62.02,53,77,12.19,broken clouds
21,Chuy,UY,-33.6971,-53.4616,76.28,54,1,10.2,clear sky
22,Kodiak,US,57.79,-152.4072,27.14,64,6,10.02,clear sky
23,Grindavik,IS,63.8424,-22.4338,36.07,41,75,3.44,broken clouds
24,Tsabong,BW,-26.0217,22.401,75.61,39,80,1.57,broken clouds
25,Rikitea,PF,-23.1203,-134.9692,79.27,73,0,17.4,clear sky
26,Hays,US,30.0502,-98.0336,70.3,19,0,4.0,clear sky
27,Husavik,IS,66.0449,-17.3389,28.45,74,100,6.11,overcast clouds
28,Qeshm,IR,26.9581,56.2719,85.87,55,2,21.79,clear sky
29,Vallenar,CL,-28.5708,-70.7581,84.51,14,0,7.2,clear sky
30,Yoichi,JP,43.2039,140.7703,37.96,72,100,11.21,overcast clouds
31,Mareeba,AU,-17.0,145.4333,74.12,92,9,2.51,clear sky
32,Ancud,CL,-41.8697,-73.8203,62.22,63,29,1.81,scattered clouds
33,Cascais,PT,38.6979,-9.4215,63.46,70,40,16.11,scattered clouds
34,Poum,NC,-20.2333,164.0167,80.6,79,100,11.18,overcast clouds
35,Neiafu,TO,-18.65,-173.9833,81.28,83,20,2.3,few clouds
36,Albany,US,42.6001,-73.9662,50.59,78,100,5.99,overcast clouds
37,Narsaq,GL,60.9167,-46.05,31.8,62,17,3.4,few clouds
38,Qaanaaq,GL,77.484,-69.3632,-1.41,73,11,6.49,few clouds
39,Chernihiv,UA,51.0,32.0,47.08,78,100,4.9,overcast clouds
40,Carnarvon,AU,-24.8667,113.6333,71.67,73,99,8.05,overcast clouds
41,Alice Springs,AU,-23.7,133.8833,54.95,54,0,0.0,clear sky
42,Kapaa,US,22.0752,-159.319,73.11,86,79,5.01,broken clouds
43,Khandyga,RU,62.6667,135.6,0.75,100,88,1.97,overcast clouds
44,Santa Cruz,BO,-17.8,-63.1667,89.87,45,8,12.41,clear sky
45,Otavi,NA,-19.65,17.3333,80.96,33,22,5.48,few clouds
46,Kaitangata,NZ,-46.2817,169.8464,51.1,72,88,9.91,overcast clouds
47,Mount Gambier,AU,-37.8333,140.7667,57.11,88,16,6.91,few clouds
48,Tuktoyaktuk,CA,69.4541,-133.0374,6.15,97,100,4.54,overcast clouds
49,Longyearbyen,SJ,78.2186,15.6401,13.84,67,5,16.11,clear sky
50,Changji,CN,44.0167,87.3167,68.79,34,40,8.95,scattered clouds
51,Bataipora,BR,-22.2953,-53.2711,90.18,50,69,6.08,broken clouds
52,Ostrovnoy,RU,68.0531,39.5131,30.83,94,100,19.64,overcast clouds
53,Tessalit,ML,20.1986,1.0114,104.41,5,2,12.8,clear sky
54,Tasiilaq,GL,65.6145,-37.6368,20.55,92,100,10.33,light snow
55,Fortuna,US,40.5982,-124.1573,50.94,96,75,9.22,broken clouds
56,New Norfolk,AU,-42.7826,147.0587,53.71,73,0,3.11,clear sky
57,Atuona,PF,-9.8,-139.0333,79.23,77,51,18.84,broken clouds
58,Saldanha,ZA,-33.0117,17.9442,67.89,47,0,13.04,clear sky
59,Busselton,AU,-33.65,115.3333,58.69,79,93,13.18,overcast clouds
60,Torbay,CA,47.6666,-52.7314,40.75,86,40,13.0,scattered clouds
61,Bethel,US,41.3712,-73.414,59.14,73,49,1.01,scattered clouds
62,Uchaly,RU,54.2996,59.4521,34.77,93,82,5.26,broken clouds
