City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,East London,ZA,2022-04-04 16:53:36,-33.0153,27.9116,70.74,83,20,5.75
1,Barauna,BR,2022-04-04 16:53:37,-5.08,-37.6167,87.42,57,91,8.57
2,Upernavik,GL,2022-04-04 16:53:37,72.7868,-56.1549,26.22,76,99,2.62
3,Tessalit,ML,2022-04-04 16:53:37,20.1986,1.0114,103.75,3,1,15.35
4,Pevek,RU,2022-04-04 16:53:38,69.7008,170.3133,-21.59,98,28,2.46
5,Cape Town,ZA,2022-04-04 16:53:38,-33.9258,18.4232,65.88,81,20,13.8
6,Vila Velha,BR,2022-04-04 16:53:38,-20.3297,-40.2925,87.75,69,40,11.5
7,Yerbogachen,RU,2022-04-04 16:53:39,61.2767,108.0108,-3.24,100,81,3.38
8,Maltahohe,NA,2022-04-04 16:53:39,-24.8333,16.9833,67.8,18,0,13.18
9,Chivay,PE,2022-04-04 16:53:39,-15.6383,-71.6011,56.75,56,79,6.24
10,Padang,ID,2022-04-04 16:53:40,-0.9492,100.3543,73.45,82,22,3.94
11,Ushuaia,AR,2022-04-04 16:49:36,-54.8,-68.3,42.42,70,40,21.85
12,Tuktoyaktuk,CA,2022-04-04 16:51:09,69.4541,-133.0374,-18.4,76,100,8.05
13,Khatanga,RU,2022-04-04 16:53:40,71.9667,102.5,-28.05,100,35,3.09
14,Yellowknife,CA,2022-04-04 16:51:42,62.456,-114.3525,30.42,75,75,14.97
15,Nishihara,JP,2022-04-04 16:53:40,26.1842,127.7558,63.68,70,0,8.05
16,Balaipungut,ID,2022-04-04 16:53:41,1.05,101.2833,74.26,97,63,2.62
17,Hobart,AU,2022-04-04 16:52:36,-42.8794,147.3294,58.26,78,100,4.61
18,Kaitangata,NZ,2022-04-04 16:53:41,-46.2817,169.8464,52.32,96,100,3.94
19,Noumea,NC,2022-04-04 16:53:41,-22.2763,166.4572,82.99,99,100,6.8
20,Bara,NG,2022-04-04 16:53:42,10.3744,10.7288,103.78,8,27,2.86
21,Sorland,NO,2022-04-04 16:53:35,67.667,12.6934,31.86,48,25,15.48
22,Berlevag,NO,2022-04-04 16:50:20,70.8578,29.0864,21.0,71,100,10.58
23,Korla,CN,2022-04-04 16:53:42,41.7597,86.1469,61.34,21,0,1.32
24,Mataura,NZ,2022-04-04 16:52:37,-46.1927,168.8643,51.15,92,100,3.6
25,Vaini,TO,2022-04-04 16:52:31,-21.2,-175.2,71.76,94,75,6.91
26,Maniitsoq,GL,2022-04-04 16:53:43,65.4167,-52.9,33.19,70,15,2.44
27,Hermanus,ZA,2022-04-04 16:51:12,-34.4187,19.2345,63.81,79,4,13.35
28,Ilulissat,GL,2022-04-04 16:52:17,69.2167,-51.1,33.91,78,9,4.07
29,Mizan Teferi,ET,2022-04-04 16:53:43,6.9833,35.5833,66.02,75,73,2.08
30,Jamestown,US,2022-04-04 16:50:41,42.097,-79.2353,43.02,54,0,5.75
31,Nuuk,GL,2022-04-04 16:53:44,64.1835,-51.7216,34.88,80,84,1.01
32,Vanimo,PG,2022-04-04 16:53:44,-2.6741,141.3028,77.23,90,97,5.84
33,Tifton,US,2022-04-04 16:51:17,31.4505,-83.5085,75.88,34,0,5.75
34,Bandar-E Lengeh,IR,2022-04-04 16:53:44,26.5579,54.8807,84.31,70,5,6.91
35,Saint George,US,2022-04-04 16:52:31,37.1041,-113.5841,65.62,35,0,1.99
36,Camacha,PT,2022-04-04 16:53:45,33.0833,-16.3333,56.62,58,40,20.71
37,Arraial Do Cabo,BR,2022-04-04 16:51:14,-22.9661,-42.0278,85.96,70,20,12.66
38,Geraldton,AU,2022-04-04 16:53:45,-28.7667,114.6,66.61,88,4,9.22
39,Senekal,ZA,2022-04-04 16:53:45,-28.3197,27.6208,60.37,81,92,8.88
40,Thompson,CA,2022-04-04 16:53:46,55.7435,-97.8558,35.76,55,0,5.75
41,Koungou,YT,2022-04-04 16:53:46,-12.7336,45.2042,83.91,79,0,4.61
42,Dingle,PH,2022-04-04 16:53:46,10.9995,122.6711,76.44,89,100,6.96
43,Punta Arenas,CL,2022-04-04 16:53:47,-53.15,-70.9167,42.91,70,40,31.07
44,Hua Hin,TH,2022-04-04 16:53:47,12.5707,99.9588,84.0,48,93,3.49
45,Grindavik,IS,2022-04-04 16:53:47,63.8424,-22.4338,37.35,93,100,13.8
46,Kununurra,AU,2022-04-04 16:51:00,-15.7667,128.7333,71.58,88,38,0.0
47,Nioro,GM,2022-04-04 16:53:48,13.35,-15.75,98.8,13,8,7.58
48,Plavinas,LV,2022-04-04 16:54:48,56.6178,25.7255,35.98,91,100,11.68
49,Zemio,CF,2022-04-04 16:54:48,5.0314,25.1361,78.3,64,50,11.99
50,Puteyets,RU,2022-04-04 16:54:49,65.1716,57.091,13.8,95,94,3.2
51,Lorengau,PG,2022-04-04 16:54:49,-2.0226,147.2712,80.28,81,100,10.69
52,Coihueco,CL,2022-04-04 16:54:49,-36.6167,-71.8333,63.34,36,0,14.97
53,Bluff,NZ,2022-04-04 16:54:50,-46.6,168.3333,53.85,84,100,8.43
54,Souillac,MU,2022-04-04 16:54:02,-20.5167,57.5167,79.18,83,100,11.5
55,Rikitea,PF,2022-04-04 16:54:29,-23.1203,-134.9692,77.4,63,14,12.59
56,Abaza,RU,2022-04-04 16:54:50,52.655,90.0928,40.1,94,100,4.18
57,Port Alfred,ZA,2022-04-04 16:52:30,-33.5906,26.891,65.17,81,2,5.01
58,Usinsk,RU,2022-04-04 16:53:47,65.9939,57.5281,14.86,92,99,9.86
59,Chokurdakh,RU,2022-04-04 16:54:51,70.6333,147.9167,-18.8,100,47,7.87
60,Saskylakh,RU,2022-04-04 16:54:51,71.9167,114.0833,-8.39,99,99,5.01
61,Ribeira Grande,PT,2022-04-04 16:52:32,38.5167,-28.7,64.8,72,40,8.05
62,Adamovka,RU,2022-04-04 16:54:51,51.5223,59.9396,40.95,85,100,7.85
63,Balabac,PH,2022-04-04 16:54:52,7.9868,117.0645,76.86,92,100,7.9
64,Broome,US,2022-04-04 16:51:07,42.2506,-75.833,42.62,72,100,8.05
65,Arkhangelsk,RU,2022-04-04 16:54:52,64.5401,40.5433,30.31,51,20,4.47
66,Busselton,AU,2022-04-04 16:52:33,-33.65,115.3333,54.34,77,0,10.13
67,Matagami,CA,2022-04-04 16:54:53,49.7502,-77.6328,32.11,40,0,10.36
68,Atuona,PF,2022-04-04 16:54:53,-9.8,-139.0333,79.45,75,15,23.26
69,Mehamn,NO,2022-04-04 16:53:24,71.0357,27.8492,19.35,73,20,3.44
70,Nikolskoye,RU,2022-04-04 16:52:37,59.7035,30.7861,39.09,71,100,10.56
71,Alofi,NU,2022-04-04 16:54:53,-19.0595,-169.9187,73.29,94,75,4.61
72,Carnarvon,AU,2022-04-04 16:51:08,-24.8667,113.6333,75.27,83,0,14.97
73,Kapaa,US,2022-04-04 16:54:54,22.0752,-159.319,73.11,79,100,1.99
74,Brownwood,US,2022-04-04 16:54:18,31.7093,-98.9912,77.0,60,100,13.8
75,Lebu,CL,2022-04-04 16:52:34,-37.6167,-73.65,58.51,69,11,17.25
76,Albany,US,2022-04-04 16:50:05,42.6001,-73.9662,49.93,50,77,5.99
77,Paamiut,GL,2022-04-04 16:50:09,61.994,-49.6678,33.91,95,100,11.88
